id,entityid,companyname,displayName,isinactive,subsidiary,subsidiaryId
577,Rossini della Quercia,Rossini della Quercia,Rossini della Quercia,false,Patra Group : Opuzen,2
578,Rothbock,Rothbock,Rothbock,false,Patra Group : Opuzen,2
488,RXD Systems,RXD Systems,RXD Systems,false,Patra Group : Opuzen,2
489,"S. Harris & Co, Inc","S. Harris & Co, Inc","S. Harris & Co, Inc",false,Patra Group : Opuzen,2
490,Saana Baker Design,Saana Baker Design,Saana Baker Design,false,Patra Group : Opuzen,2
491,"Salesforce.com, inc","Salesforce.com, inc","Salesforce.com, inc",false,Patra Group : Opuzen,2
127,Sally Daliege,,Sally Daliege,false,Patra Group : Opuzen,2
492,SAM Renewal Support,SAM Renewal Support,SAM Renewal Support,false,Patra Group : Opuzen,2
493,Schneiders Textiles,Schneiders Textiles,Schneiders Textiles,false,Patra Group : Opuzen,2
494,Secretary of State,Secretary of State,Secretary of State,false,Patra Group : Opuzen,2
